
%%%.app.title%%%,"Coinbowl：购买和出售大量比特币"
%%%.app.description%%%,"大量购买和出售比特币和其他加密货币。 支持银行转账，现金和信用卡。 所有交易都有保险"
%%%.app.keywords%%%,"区块链技术，以太坊，比特币，加密货币，加密，交换平台，用现金购买比特币，购买大量比特币"
%%%.app.name%%%,"Coinbowl"
%%%.app.navigation.me%%%,"Me"
%%%.app.navigation.ninjaCoin%%%,"Coin"
%%%.app.navigation.wallet%%%,"Wallet"
%%%.app.common.error%%%,"OH! something went wrong!"
%%%.app.common.required%%%,"Required"
%%%.app.common.copied%%%,"Copied"
%%%.error.required%%%,"Required"
%%%.error.requiredOne%%%,"You need to fill in one of these!"
%%%.error.greaterThan%%%,"Must be greater than {min}"
%%%.error.lessThan%%%,"Must be less than {max}"
%%%.error.greaterThanEqual%%%,"Must be equal or greater than {min}"
%%%.error.lessThanEqual%%%,"Must be less than or equal {max}"
%%%.error.mustBeANumber%%%,"Must be a number"
%%%.error.mustBeAPositiveInteger%%%,"Must be a integer number greater or equal 0"
%%%.me.accountInfo.email%%%,"Email"
%%%.me.accountInfo.nickname%%%,"Nickname"
%%%.me.accountInfo.nickname_note%%%,"This name will be shown in your preview"
%%%.me.accountInfo.oldPassword%%%,"Old Password"
%%%.me.accountInfo.newPassword%%%,"New Password"
%%%.me.accountInfo.changePassword%%%,"Change Password"
%%%.me.accountInfo.firstName%%%,"First Name"
%%%.me.accountInfo.lastName%%%,"Last Name"
%%%.me.accountInfo.legalName%%%,"Legal Name"
%%%.me.accountInfo.country%%%,"Country"
%%%.me.accountInfo.save%%%,"Save"
%%%.me.accountInfo.userProfile%%%,"User Profile"
%%%.me.accountInfo.personalDetails%%%,"Personal Details"
%%%.me.accountInfo.personalDetailsDesc%%%,"Your personal information is never shown to other users"
%%%.me.accountInfo.referralTitle%%%,"Refferal"
%%%.me.accountInfo.referralLink%%%,"Your Referral Link Here: "
%%%.me.accountInfo.referral.name%%%,"Name"
%%%.me.accountInfo.referral.status%%%,"Status"
%%%.me.accountInfo.referral.date%%%,"Date"
%%%.me.accountInfo.alert.passwordSuccess%%%,"Update Password successfully1"
%%%.me.accountInfo.alert.passwordFailed%%%,"Update Password Failed2"
%%%.me.accountInfo.alert.success%%%,"Success"
%%%.me.accountInfo.alert.failed%%%,"Failed"
%%%.me.history.title%%%,"Transaction History"
%%%.me.history.date%%%,"Date"
%%%.me.history.refcode%%%,"Ref Code"
